ID,BedrijfstakkenBranches,Seizoencorrectie,Perioden,ProductieBedrAfgelopen3Mnd_1,ProductieBedrKomende3Mnd_2,OmzetAfgelopen3Mnd_3,OmzetKomende3Mnd_4,BuitenlandseOmzetAfgelopen3Mnd_5,BuitenlandseOmzetKomende3Mnd_6,VerkoopprijzenTarievenKomende3Mnd_7,PersoneelssterkteAfgelopen3Mnd_8,PersoneelssterkteKomende3Mnd_9,EconomischKlimaatAfgelopen3Mnd_10,WinstgevendheidAfgelopen3Mnd_11
173,305700,A042500,2023KW01,-15.9,-16.3,-18.1,-20.4,16.4,12.8,-0.7,-3.5,17.7,1.5,-9.9
174,307500,A042501,2016KW01,15.1,4.0,19.7,0.0,10.2,2.6,10.5,0.1,-0.8,1.8,5.6
175,307500,A042501,2016KW02,7.3,14.6,5.1,15.4,4.1,12.1,0.7,2.7,-0.2,0.0,0.1
176,307500,A042501,2016KW03,17.9,2.8,18.1,4.4,9.8,3.8,2.4,7.7,-0.4,4.1,5.8
177,307500,A042501,2016KW04,7.7,17.3,6.9,14.9,5.1,7.4,5.7,7.0,-0.2,2.2,3.3
178,307500,A042501,2017KW01,17.2,8.5,22.3,7.1,13.5,8.3,17.1,10.8,1.7,12.3,10.7
179,307500,A042501,2017KW02,16.0,19.2,15.8,20.5,13.1,12.3,7.2,9.5,10.3,13.5,8.2
180,307500,A042501,2017KW03,17.9,4.9,16.4,4.2,10.4,4.0,4.6,13.7,13.0,9.4,6.6
181,307500,A042501,2017KW04,8.0,19.0,9.4,25.8,9.0,16.4,11.9,15.0,11.1,11.1,3.6
182,307500,A042501,2018KW01,17.8,13.7,22.0,11.9,15.1,10.2,21.6,11.1,12.7,13.2,10.9
183,307500,A042501,2018KW02,15.1,20.0,15.9,20.7,9.7,10.7,7.5,14.0,15.2,10.5,5.6
184,307500,A042501,2018KW03,17.8,3.3,23.5,4.9,12.0,2.4,10.6,15.5,13.4,11.1,11.0
185,307500,A042501,2018KW04,4.6,14.6,2.2,18.6,1.3,10.8,12.9,13.1,13.3,5.8,-1.0
186,307500,A042501,2019KW01,12.1,7.1,15.0,8.4,6.9,8.2,23.1,12.4,12.6,3.2,5.9
187,307500,A042501,2019KW02,4.5,14.0,4.1,13.8,3.5,8.4,6.5,10.2,9.8,-0.2,3.3
188,307500,A042501,2019KW03,7.1,-2.3,10.0,-2.1,5.2,1.4,3.2,6.8,4.8,-2.7,0.7
189,307500,A042501,2019KW04,-1.3,11.8,-3.7,14.1,-1.0,5.6,7.8,5.1,3.1,-7.2,-7.2
