ID,Geslacht,Leeftijd,ZorgvormZvwZorgkosten,Perioden,PersonenMetZvwZorgkostenRelatief_1,GemiddeldeZorgkostenAllePersonen_2,GemiddeldeZorgkostenGebruikers_3,Zorgkosten50ePercentielGebruikers_4,Zorgkosten95ePercentielGebruikers_5,Zorgkosten99ePercentielGebruikers_6
204,T001038,70501  ,A042747,2020JJ00,0.3,13.0,4748.0,966.0,23577.0,47425.0
205,T001038,70501  ,A042747,2021JJ00,0.3,12.0,4336.0,931.0,21083.0,46271.0
206,T001038,70501  ,A042747,2022JJ00,0.3,11.0,4203.0,925.0,20138.0,46257.0
207,T001038,70501  ,A042747,2023JJ00,0.2,11.0,4350.0,1005.0,20581.0,45530.0
208,T001038,70501  ,A042757,2020JJ00,0.0,2.0,4106.0,1095.0,14186.0,66908.0
209,T001038,70501  ,A042757,2021JJ00,0.0,2.0,3895.0,1129.0,11905.0,73960.0
210,T001038,70501  ,A042757,2022JJ00,0.1,2.0,3944.0,1126.0,13295.0,65352.0
211,T001038,70501  ,A042757,2023JJ00,0.1,2.0,3515.0,936.0,11399.0,56833.0
212,T001038,70501  ,A049496,2020JJ00,0.0,0.0,,,,
213,T001038,70501  ,A049496,2021JJ00,0.0,0.0,,,,
214,T001038,70501  ,A049496,2022JJ00,0.0,0.0,,,,
215,T001038,70501  ,A049496,2023JJ00,0.0,0.0,,,,
216,T001038,70501  ,A042754,2020JJ00,2.4,27.0,1064.0,1193.0,1522.0,2601.0
217,T001038,70501  ,A042754,2021JJ00,2.5,24.0,942.0,885.0,1469.0,2281.0
218,T001038,70501  ,A042754,2022JJ00,,,,,,
219,T001038,70501  ,A042754,2023JJ00,,,,,,
220,T001038,70501  ,A042755,2020JJ00,5.2,406.0,7383.0,3118.0,25373.0,77650.0
221,T001038,70501  ,A042755,2021JJ00,5.3,277.0,5155.0,2543.0,18229.0,56640.0
222,T001038,70501  ,A042755,2022JJ00,,,,,,
223,T001038,70501  ,A042755,2023JJ00,,,,,,
224,T001038,70501  ,A042760,2020JJ00,0.5,7.0,1279.0,280.0,2332.0,2714.0
225,T001038,70501  ,A042760,2021JJ00,0.5,9.0,1315.0,142.0,2755.0,14798.0
226,T001038,70501  ,A042760,2022JJ00,0.5,5.0,1103.0,81.0,3646.0,19861.0
227,T001038,70501  ,A042760,2023JJ00,1.0,6.0,641.0,49.0,975.0,13907.0
228,T001038,70502  ,T001338,2020JJ00,98.9,2092.0,2129.0,376.0,8643.0,29015.0
